"Make","Model","Year","EngineFuelType","EngineHP","EngineCylinders","TransmissionType","DrivenWheels","NumberOfDoors","MarketCategory","VehicleSize","VehicleStyle","HighwayMPG","CityMPG","Popularity","MSRP","Crossover","Diesel","Exotic","Luxury","HighPerformance","FactoryTuner","Performance","FlexFuel","Hatchback","Hybrid","N_A"
"BMW","1 Series M",2011,"premium unleaded (required)",335,6,"MANUAL","rear wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","Coupe",26,19,3916,46135,"No","No","No","Yes","Yes","Yes","No","No","No","No","No"
"BMW","1 Series",2011,"premium unleaded (required)",300,6,"MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","Convertible",28,19,3916,40650,"No","No","No","Yes","No","No","Yes","No","No","No","No"
"BMW","1 Series",2011,"premium unleaded (required)",300,6,"MANUAL","rear wheel drive",2,"Luxury,High-Performance","Compact","Coupe",28,20,3916,36350,"No","No","No","Yes","Yes","No","No","No","No","No","No"
"BMW","1 Series",2011,"premium unleaded (required)",230,6,"MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","Coupe",28,18,3916,29450,"No","No","No","Yes","No","No","Yes","No","No","No","No"
"BMW","1 Series",2011,"premium unleaded (required)",230,6,"MANUAL","rear wheel drive",2,"Luxury","Compact","Convertible",28,18,3916,34500,"No","No","No","Yes","No","No","No","No","No","No","No"
"BMW","1 Series",2012,"premium unleaded (required)",230,6,"MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","Coupe",28,18,3916,31200,"No","No","No","Yes","No","No","Yes","No","No","No","No"
"BMW","1 Series",2012,"premium unleaded (required)",300,6,"MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","Convertible",26,17,3916,44100,"No","No","No","Yes","No","No","Yes","No","No","No","No"
"BMW","1 Series",2012,"premium unleaded (required)",300,6,"MANUAL","rear wheel drive",2,"Luxury,High-Performance","Compact","Coupe",28,20,3916,39300,"No","No","No","Yes","Yes","No","No","No","No","No","No"
"BMW","1 Series",2012,"premium unleaded (required)",230,6,"MANUAL","rear wheel drive",2,"Luxury","Compact","Convertible",28,18,3916,36900,"No","No","No","Yes","No","No","No","No","No","No","No"
"BMW","1 Series",2013,"premium unleaded (required)",230,6,"MANUAL","rear wheel drive",2,"Luxury","Compact","Convertible",27,18,3916,37200,"No","No","No","Yes","No","No","No","No","No","No","No"
"BMW","1 Series",2013,"premium unleaded (required)",300,6,"MANUAL","rear wheel drive",2,"Luxury,High-Performance","Compact","Coupe",28,20,3916,39600,"No","No","No","Yes","Yes","No","No","No","No","No","No"
"BMW","1 Series",2013,"premium unleaded (required)",230,6,"MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","Coupe",28,19,3916,31500,"No","No","No","Yes","No","No","Yes","No","No","No","No"
"BMW","1 Series",2013,"premium unleaded (required)",300,6,"MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","Convertible",28,19,3916,44400,"No","No","No","Yes","No","No","Yes","No","No","No","No"
"BMW","1 Series",2013,"premium unleaded (required)",230,6,"MANUAL","rear wheel drive",2,"Luxury","Compact","Convertible",28,19,3916,37200,"No","No","No","Yes","No","No","No","No","No","No","No"
"BMW","1 Series",2013,"premium unleaded (required)",230,6,"MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","Coupe",28,19,3916,31500,"No","No","No","Yes","No","No","Yes","No","No","No","No"
"BMW","1 Series",2013,"premium unleaded (required)",320,6,"MANUAL","rear wheel drive",2,"Luxury,High-Performance","Compact","Convertible",25,18,3916,48250,"No","No","No","Yes","Yes","No","No","No","No","No","No"
"BMW","1 Series",2013,"premium unleaded (required)",320,6,"MANUAL","rear wheel drive",2,"Luxury,High-Performance","Compact","Coupe",28,20,3916,43550,"No","No","No","Yes","Yes","No","No","No","No","No","No"
"Audi","100",1992,"regular unleaded",172,6,"MANUAL","front wheel drive",4,"Luxury","Midsize","Sedan",24,17,3105,2000,"No","No","No","Yes","No","No","No","No","No","No","No"
